Year;Country;City;Circuit Name;Driver;PowerRanking Score;PowerRanking Position
2023;Austria;Spielberg;Red Bull Ring;Fernando Alonso;7.8;7
2023;Austria;Spielberg;Red Bull Ring;Pierre Gasly;7.4;8
2023;Austria;Spielberg;Red Bull Ring;Logan Sargeant;7;9
2023;Austria;Spielberg;Red Bull Ring;Lance Stroll;6.8;10
2022;Japan;Suzuka;Suzuka International Racing Course;Max Verstappen;10;1
2022;Japan;Suzuka;Suzuka International Racing Course;Esteban Ocon;9;2
2022;Japan;Suzuka;Suzuka International Racing Course;Sebastian Vettel;8.6;3
2022;Japan;Suzuka;Suzuka International Racing Course;Sergio Perez;8.4;4
2022;Japan;Suzuka;Suzuka International Racing Course;Fernando Alonso;8;5
2022;Japan;Suzuka;Suzuka International Racing Course;Charles Lecrerc;7.8;6
2022;Japan;Suzuka;Suzuka International Racing Course;Nicholas Latifi;7.8;7
2022;Japan;Suzuka;Suzuka International Racing Course;Lewis Hamilton;7.6;8
2022;Japan;Suzuka;Suzuka International Racing Course;Lando Norris;7;9
2022;Japan;Suzuka;Suzuka International Racing Course;George Russell;6.8;10
2023;Japan;Suzuka;Suzuka International Racing Course;Max Verstappen;10;1
2023;Japan;Suzuka;Suzuka International Racing Course;Lando Norris;9.4;2
2023;Japan;Suzuka;Suzuka International Racing Course;Oscar Piastri;8.6;3
2023;Japan;Suzuka;Suzuka International Racing Course;Charles Leclerc;8;4
2023;Japan;Suzuka;Suzuka International Racing Course;Lewis Hamilton;7.6;5
2023;Japan;Suzuka;Suzuka International Racing Course;Liam Lawson;7.6;6
2023;Japan;Suzuka;Suzuka International Racing Course;Esteban Ocon;7.4;7
2023;Japan;Suzuka;Suzuka International Racing Course;Pierre Gasly;7.4;8
2023;Japan;Suzuka;Suzuka International Racing Course;Carlos Sainz;7.2;9
2023;Japan;Suzuka;Suzuka International Racing Course;Yuki Tsunoda;7;10
2022;Netherlands;Zandvoort;Circuit Zandvoort;Max Verstappen;9.8;1
2022;Netherlands;Zandvoort;Circuit Zandvoort;George Russell;8.8;2
2022;Netherlands;Zandvoort;Circuit Zandvoort;Fernando Alonso;8.6;3
2022;Netherlands;Zandvoort;Circuit Zandvoort;Lewis Hamilton;8.4;4
2022;Netherlands;Zandvoort;Circuit Zandvoort;Lando Norris;8.2;5
2022;Netherlands;Zandvoort;Circuit Zandvoort;Charles Lecrerc;8;6
2022;Netherlands;Zandvoort;Circuit Zandvoort;Esteban Ocon;7.8;7
2022;Netherlands;Zandvoort;Circuit Zandvoort;Lance Stroll;7.6;8
2022;Netherlands;Zandvoort;Circuit Zandvoort;Pierre Gasly;7;9
2022;Netherlands;Zandvoort;Circuit Zandvoort;Alex Albon;7;10
2023;Netherlands;Zandvoort;Circuit Zandvoort;Max Verstappen;10;1
2023;Netherlands;Zandvoort;Circuit Zandvoort;Fernando Alonso;9.6;2
2023;Netherlands;Zandvoort;Circuit Zandvoort;Pierre Gasly;9.4;3
2023;Netherlands;Zandvoort;Circuit Zandvoort;Alex Albon;8.8;4
2023;Netherlands;Zandvoort;Circuit Zandvoort;Carlos Sainz;8.4;5
2023;Netherlands;Zandvoort;Circuit Zandvoort;Lando Norris;8.2;6
2023;Netherlands;Zandvoort;Circuit Zandvoort;Lewis Hamilton;8;7
2023;Netherlands;Zandvoort;Circuit Zandvoort;Yuki Tsunoda;7.4;8
2023;Netherlands;Zandvoort;Circuit Zandvoort;Liam Lawson;7.2;9
2023;Netherlands;Zandvoort;Circuit Zandvoort;George Russell;6.8;10
